Site,Species,Tag_ID,Tiller_25,attachedInf_25,brokenInf_25,Spikelet_A,Spikelet_B,Spikelet_C,tiller_herb_25,stroma_25,date_25
HUN,AGHY,565,0,NA,NA,NA,NA,NA,NA,0,2025-05-10
HUN,AGHY,569,2,1,NA,NA,NA,NA,0,0,2025-05-10
HUN,AGHY,573,1,1,NA,NA,NA,NA,0,0,2025-05-10
HUN,AGHY,576,1,0,NA,NA,NA,NA,0,0,2025-05-10
HUN,AGHY,577,13,6,NA,NA,NA,NA,0,1,2025-05-10
HUN,AGHY,581,2,1,NA,NA,NA,NA,0,0,2025-05-10
HUN,AGHY,583,9,0,NA,NA,NA,NA,1,0,2025-05-10
HUN,AGHY,588,3,2,NA,NA,NA,NA,3,0,2025-05-10
HUN,AGHY,590,4,3,NA,NA,NA,NA,1,0,2025-05-10
HUN,AGHY,702,0,NA,NA,NA,NA,NA,NA,0,2025-05-03
HUN,AGHY,705,4,3,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,706,38,27,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,707,16,11,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,709,21,16,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,710,0,NA,NA,NA,NA,NA,NA,0,2025-05-03
HUN,AGHY,711,48,19,NA,NA,NA,NA,0,5,2025-05-03
HUN,AGHY,713,23,19,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,714,11,9,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,715,39,15,NA,NA,NA,NA,0,3,2025-05-03
HUN,AGHY,720,32,12,NA,NA,NA,NA,2,1,2025-05-03
HUN,AGHY,724,4,4,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,728,11,9,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,721,1,1,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,729,1,1,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,722,2,0,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,730,7,7,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,723,2,2,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,727,8,5,NA,NA,NA,NA,0,0,2025-05-03
HUN,AGHY,690,1,0,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,691,3,2,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,692,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,694,2,2,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,695,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,697,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,698,1,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,700,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,592,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,600,1,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,675,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,676,4,4,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,680,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,682,3,0,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,683,13,3,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,684,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,685,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,687,6,2,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,688,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,689,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,660,2,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,661,3,2,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,662,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,663,5,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,664,3,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,666,2,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,667,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,668,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,669,2,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,670,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,672,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,673,5,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,674,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,645,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,647,6,4,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,648,1,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,649,8,7,NA,NA,NA,NA,0,1,2025-04-29
HUN,AGHY,650,2,2,NA,NA,NA,NA,0,0,2025-04-29
