Site,Species,Plot,Position,Tag_ID,Population,GreenhouseID,Clone,Endo
BAS,AGHY,1,1,811,LPEF,242-5-24,NA,0
BAS,AGHY,1,2,812,LPEF,GH-35-1,AV,1
BAS,AGHY,1,3,813,LPEF,GH-35-8,AC,1
BAS,AGHY,1,4,814,COHR,215-1-15,BB,0
BAS,AGHY,1,5,815,COHR,1935-01-30,AF,1
BAS,AGHY,1,6,816,COHR,1935-06-07,NA,1
BAS,AGHY,1,7,817,SJC,1942-03-14,NA,1
BAS,AGHY,1,8,818,SJC,42-3-57,NA,1
BAS,AGHY,1,9,819,SJC,1942-03-21,NA,1
BAS,AGHY,1,10,820,SJC,1942-03-28,NA,1
BAS,AGHY,1,11,821,COHR,1935-06-14,AB,1
BAS,AGHY,1,12,822,COHR,1935-01-25,AF,1
BAS,AGHY,1,13,823,LPEF,GH-35-8,AR,1
BAS,AGHY,1,14,824,SJC,1942-03-07,NA,0
BAS,AGHY,1,15,825,LPEF,GH-35-3,BF,1
BAS,AGHY,2,1,901,SJC,1942-03-06,NA,1
BAS,AGHY,2,2,902,LPEF,242-7-6V,DG,0
BAS,AGHY,2,3,903,COHR,1935-06-21,AB,1
BAS,AGHY,2,4,904,SJC,1942-03-13,NA,1
BAS,AGHY,2,5,905,COHR,35-1-33,AC,1
BAS,AGHY,2,6,906,LPEF,GH-35-1,AH,1
BAS,AGHY,2,7,907,SJC,1942-03-20,NA,1
BAS,AGHY,2,8,908,LPEF,GH-35-6,BB,1
BAS,AGHY,2,9,909,COHR,215-1-15,CT,0
BAS,AGHY,2,10,911,SJC,42-4-103,NA,0
BAS,AGHY,2,10,910,COHR,1935-01-14,AC,1
BAS,AGHY,2,12,912,LPEF,GH-35-8,AD,1
BAS,AGHY,2,13,913,COHR,1935-01-30,AG,1
BAS,AGHY,2,14,914,SJC,1942-03-12,NA,1
BAS,AGHY,2,15,915,LPEF,GH-35-3,AR,1
BAS,AGHY,3,1,826,LPEF,242-2-40,NA,0
BAS,AGHY,3,2,827,COHR,1935-01-19,AA,0
BAS,AGHY,3,3,828,SJC,1942-04-01,NA,0
BAS,AGHY,3,4,829,COHR,215-2,BM,0
BAS,AGHY,3,5,830,SJC,1942-04-15,NA,0
BAS,AGHY,3,6,831,COHR,1935-01-28,AA,0
BAS,AGHY,3,7,832,SJC,1942-04-08,NA,0
BAS,AGHY,3,8,833,LPEF,GH-35-3,BG,1
BAS,AGHY,3,9,834,COHR,215-1-15,AI2,0
BAS,AGHY,3,10,835,COHR,215-1-15,AP2,0
BAS,AGHY,3,11,836,LPEF,242-7-6V,DF,0
BAS,AGHY,3,12,837,LPEF,242-7-6V,DA,0
BAS,AGHY,3,13,838,LPEF,242-7-6V,DB,0
BAS,AGHY,3,14,839,SJC,42-3-50,NA,1
BAS,AGHY,3,15,840,COHR,1935-01-25,AA,1
BAS,AGHY,4,1,931,COHR,1935-01-15,AJ,1
BAS,AGHY,4,2,932,COHR,1935-06-14,AH,1
BAS,AGHY,4,3,933,COHR,215-3-45,AM,0
BAS,AGHY,4,4,934,SJC,42-3-34,NA,1
BAS,AGHY,4,5,935,LPEF,242-2-39,NA,0
BAS,AGHY,4,6,936,LPEF,GH-35-8,AH,1
BAS,AGHY,4,7,937,SJC,42-4-89,NA,0
BAS,AGHY,4,8,938,SJC,42-4-96,NA,0
BAS,AGHY,4,9,939,COHR,1935-01-17,AB,1
BAS,AGHY,4,10,940,COHR,215-1-15,AW2,0
BAS,AGHY,4,11,941,LPEF,242-7-6V,DC,0
BAS,AGHY,4,12,942,SJC,1942-03-27,NA,1
BAS,AGHY,4,13,943,LPEF,GH-35-3,BW,1
BAS,AGHY,4,14,944,LPEF,GH-35-1,AX,1
BAS,AGHY,4,15,945,SJC,42-3-35,NA,1
BAS,AGHY,5,1,916,COHR,35-1-44,NA,1
BAS,AGHY,5,2,917,COHR,1935-01-25,AE,1
BAS,AGHY,5,3,918,COHR,215-2,BG,0
BAS,AGHY,5,4,919,SJC,1942-03-26,NA,1
BAS,AGHY,5,5,920,LPEF,242-2-53,NA,0
BAS,AGHY,5,6,921,LPEF,GH-35-6,AP,1
BAS,AGHY,5,7,922,SJC,42-4-69,NA,0
BAS,AGHY,5,8,923,SJC,42-4-54,NA,0
BAS,AGHY,5,9,924,COHR,1935-01-17,NA,1
BAS,AGHY,5,10,925,COHR,215-1-15,DP,0
BAS,AGHY,5,11,926,LPEF,242-7-6V,AC,0
BAS,AGHY,5,12,927,SJC,42-3-32,NA,1
BAS,AGHY,5,13,928,LPEF,GH-35-3,AB,1
BAS,AGHY,5,14,929,LPEF,GH-35-1,AM,1
BAS,AGHY,5,15,930,SJC,42-3-33,NA,1
BAS,AGHY,6,1,841,COHR,215-1-15,AQ2,0
BAS,AGHY,6,2,842,COHR,1935-06-14,NA,1
