Fitness_component,species,Parameter,Estimate,Lower_CI,Upper_CI
Survival,AGHY,Endophyte × Climate,0.19296006417478637,-0.41804146538814957,0.8559726943880083
Survival,ELVI,Endophyte × Climate,0.3106678413204495,-0.40644707712808614,1.0301594788663089
Survival,POAU,Endophyte × Climate,0.22717904876799622,-0.7286549078069431,1.2071616787297814
Survival,AGHY,Endophyte × Herbivory,-0.21764292765921534,-1.0100452307864254,0.5424270663710405
Survival,ELVI,Endophyte × Herbivory,-0.14182021032255904,-1.057517194733306,0.7508467654358971
Survival,POAU,Endophyte × Herbivory,0.663281197064875,-0.44306494998385354,1.796107581542698
Survival,AGHY,Endophyte × Herbivory × Climate,0.13884733201916022,-0.6868200047351172,0.9263666843796792
Survival,ELVI,Endophyte × Herbivory × Climate,0.3714210982145294,-0.5794301850560649,1.3558814335801872
Survival,POAU,Endophyte × Herbivory × Climate,-0.305338885451212,-1.4724831038247017,0.8729837614460321
Growth,AGHY,Endophyte × Climate,-0.005162458446751663,-0.33962291059147814,0.3285204353908718
Growth,ELVI,Endophyte × Climate,-0.013472851850771104,-0.2900916482159529,0.26758718982284285
Growth,PAOU,Endophyte × Climate,0.2077574493279962,-0.15579370452326952,0.5589417422312574
Growth,AGHY,Endophyte × Herbivory,-0.28319576869077656,-0.7337699878013819,0.1584160358775461
Growth,ELVI,Endophyte × Herbivory,-0.20789935231776102,-0.6205761538684803,0.21833432688658086
Growth,PAOU,Endophyte × Herbivory,0.36511997050052714,-0.13462781367856394,0.8621793156866218
Growth,AGHY,Endophyte × Herbivory × Climate,0.0839565759374728,-0.29617919738130033,0.46213477718903734
Growth,ELVI,Endophyte × Herbivory × Climate,0.06030235185357809,-0.29607228738545516,0.40511983539212065
Growth,PAOU,Endophyte × Herbivory × Climate,-0.549157606353395,-0.9664763066880978,-0.14080785398084103
Flowering,AGHY,bendoclim,0.08509591812964683,-0.3408842155567288,0.4983245742942737
Flowering,ELVI,bendoclim,0.163144960562138,-0.2017620773763398,0.5296708974251442
Flowering,PAOU,bendoclim,0.09818161712601774,-0.3221791154674864,0.5244316514017486
Flowering,AGHY,bendoherb,0.01533529792725665,-0.550660977068072,0.5789359541696841
Flowering,ELVI,bendoherb,-0.013771334944643367,-0.5992250884760504,0.5770494237666381
Flowering,PAOU,bendoherb,0.6807807986100962,0.05037629954328252,1.3367561378691728
Flowering,AGHY,bendoherbclim,-0.002857225691087289,-0.5042934649248794,0.5131020247668494
Flowering,ELVI,bendoherbclim,-0.10538270721895154,-0.5667800954486187,0.362599528598548
Flowering,PAOU,bendoherbclim,-0.4502443818146268,-0.9667968456097812,0.05315755437077474
Spikelet,ELVI,bendoclim,0.09562768580971269,-0.07302092285939388,0.2698315037818454
Spikelet,PAOU,bendoclim,0.09831586526542888,-0.11894719498329727,0.3087276321848775
Spikelet,ELVI,bendoherb,0.028975142502310612,-0.27429549052997904,0.3331689501550445
Spikelet,PAOU,bendoherb,0.27355656724972544,-0.03125797294991417,0.5797629914886218
Spikelet,ELVI,bendoherbclim,0.02301229136948635,-0.21609767321717166,0.25689344896612554
Spikelet,PAOU,bendoherbclim,-0.13619313246413134,-0.3831475219003089,0.11247575264962678
