"Vital_rate","Model_type","ELPD_difference","SE_difference"
"Survival","Endophyte x climate",0,0
"Survival","Endophyte no3way",-0.647143948965724,0.997288802107058
"Survival","Endophyte x climate x herb",-1.22441053690678,1.42465547757161
"Survival","Endophyte + climate + herb",-1.86887722739506,2.92586374737337
"Survival","Endophyte x herb",-3.68923929040036,2.96836848689481
"Growth","Endophyte + climate + herb",0,0
"Growth","Endophyte x climate",-1.03108765380565,2.18522194852242
"Growth","Endophyte x herb",-1.55823187630074,1.7077911153005
"Growth","Endophyte x climate x herb",-2.20252776352636,2.93980387347925
"Growth","Endophyte no3way",-2.33310077060668,2.01248061018966
"Inflorescence","Endophyte + climate + herb",0,0
"Inflorescence","Endophyte no3way",-1.61009236400934,1.71173617751943
"Inflorescence","Endophyte x herb",-1.78732721519171,1.32558773189466
"Inflorescence","Endophyte x climate",-3.46924355668217,2.68464034627929
"Inflorescence","Endophyte x climate x herb",-4.85661172833933,2.22920560132136
"Spikelet","Endophyte + climate + herb",0,0
"Spikelet","Endophyte no3way",0,0
"Spikelet","Endophyte x climate",-0.118668004844409,2.7280916528672
"Spikelet","Endophyte x herb",-0.79487435061959,1.2931449615351
"Spikelet","Endophyte x climate x herb",-2.95872681629646,3.11115914926385
