Site,Species,Plot,Position,Tag_ID,Population,GreenhouseID,Clone,Endo,Tiller_24,Flowering ,date_24,Herbivory_treatment
HUN,POAU,9,1,2284,LA2,84-5G-63,BW,1,12,0,2-26-2024,1
HUN,POAU,9,2,2285,LA2,84-5G-40,BJ,1,9,0,2-26-2024,1
HUN,POAU,9,3,2286,LA1,200-3C-4B,BO,0,12,0,2-26-2024,1
HUN,POAU,9,4,2287,LA2,84-5G-63,AD,1,8,0,2-26-2024,1
HUN,POAU,9,5,2288,LA1,201-29A,AZ,0,4,0,2-26-2024,1
HUN,POAU,9,6,2289,SFAEF,872,CF,1,11,0,2-26-2024,1
HUN,POAU,9,7,2290,SFAEF,872,CG,1,15,0,2-26-2024,1
HUN,POAU,9,8,2291,LA2,2019-02-10,NA,0,6,0,2-26-2024,1
HUN,POAU,9,9,2292,SFAEF,616,AZ,1,14,0,2-26-2024,1
HUN,POAU,9,10,2293,LA1,201-29B,BH,0,8,0,2-26-2024,1
HUN,POAU,9,11,2294,SFAEF,616,CB,1,13,0,2-26-2024,1
HUN,POAU,9,12,2295,LA1,201-30B-6,AD,1,3,0,2-26-2024,1
HUN,POAU,9,13,2296,SFAEF,B-4,NA,0,20,0,2-26-2024,1
HUN,POAU,9,14,2297,LA2,84-5G-63,AK,1,14,0,2-26-2024,1
HUN,POAU,9,15,2298,SFAEF,1245,BA,0,7,0,2-26-2024,1
SON,ELVI,1,1,3224,PALM,B35-18,NA,1,7,0,3-6-2024,0
SON,ELVI,1,2,D2_SE1_2,PALM,2327H,NA,0,3,0,3-6-2024,0
SON,ELVI,1,3,D2_SE1_3,JLP,110-2A-51,NA,1,4,0,3-6-2024,0
SON,ELVI,1,4,D2_SE1_4,JLP,110-2A-55,NA,1,4,0,3-6-2024,0
SON,ELVI,1,5,D2_SE1_5,JLP,2326H,NA,0,1,0,3-6-2024,0
SON,ELVI,1,6,D2_SE1_6,PALM,819H,NA,0,1,0,3-6-2024,0
SON,ELVI,1,7,D2_SE1_7,PALM,2273H,NA,0,1,0,3-6-2024,0
SON,ELVI,1,8,D2_SE1_8,PALM,103,AB,0,4,0,3-6-2024,0
SON,ELVI,1,9,D2_SE1_9,RL5,D71,AA,1,8,0,3-6-2024,0
SON,ELVI,1,10,D2_SE1_10,SHS,107-160A-7,NA,0,5,0,3-6-2024,0
SON,ELVI,2,1,D2_SE2_1,PALM,B35-24,NA,1,5,0,3-6-2024,1
SON,ELVI,2,2,D2_SE2_2,SHS,107-160A-23,NA,0,10,0,3-6-2024,1
SON,ELVI,2,3,3220,PALM,103,AH,0,2,0,3-6-2024,1
SON,ELVI,2,4,D2_SE2_4,JLP,110-2A-53,NA,1,3,0,3-6-2024,1
SON,ELVI,2,5,D2_SE2_5,RL5,F27,AA,1,5,0,3-6-2024,1
SON,ELVI,2,6,D2_SE2_6,RL5,D13,AA,0,4,0,3-6-2024,1
SON,ELVI,2,7,3221,JLP,110-2A-56,NA,1,5,0,3-6-2024,1
SON,ELVI,2,8,D2_SE2_8,RL5,C18,AA,0,2,0,3-6-2024,1
