Species,Population,Lat,Long,Notes
AGHY,SJC,30.771969,-95.20062,"Ecolab property (owner Andy Stilley astilleypb72@gmail.com) visited May 4, 2018; heat-treated in 2019, current seed stock is >= 1 generation removed from heat treatment"
AGHY,COHR,29.672833,-96.567517,"Columbus TX AGHY Herbarium Record, visited May 10 2018 (rogue collection); heat-treated in 2019, current seed stock is >= 1 generation removed from heat treatment"
AGHY,LPEF,30.085383,-97.172508,"Lost Pines, visited May 10 2018 (rogue collection); heat-treated in 2019, current seed stock is >= 1 generation removed from heat treatment"
POAU,LA7,30.84966,-93.276772,"DeRidder LA, few greenhouse individuals that were one generation removed from Josh's endo treatment, plus some seedlings from Josh's experiment seed production"
POAU,LA1,32.568125,-93.932976,"Heavily cloned out from a few greenhouse individuals that were one generation removed from Josh's endo treatment, plus some seedlings from Josh's experiment seed production"
POAU,LA2,31.18304,-92.616969,"Heavily cloned out from a few greenhouse individuals that were one generation removed from Josh's endo treatment, plus some seedlings from Josh's experiment seed production"
POAU,SFAEF,31.492158,-94.7722,"Stephen F Austin Experimental Forest near Nacogdoches, TX. This is the natural population adjacent to our LTREB plots. Bell heat-treated seeds in summer 2022 and we are working with heat-terated seeds"
POAU,WB,30.399346,-95.150026,Winter's Bayou scenic area in Sam Houston National Forest. This is a natural population near the big iron bridge.
ELVI,HUNT,30.741797,-95.474508,"Sam Houston State University Field Station natural population (2021 collection), no heat treatment, natural E+ and E-. These seeds were scored and sorted by SL and EC (spreadsheet avaliable in natural survey folder)"
ELVI,SHS,30.741797,-95.474508,Sam Houston State University Field Station natural population but part of Josh's experiment one generation removed from heat treatment
ELVI,RL5,30.471717,-99.783803,"Seeds from Junction natural population of ELVI, likely that heat and control labels were switched bc higher prevalence in the E- group"
ELVI,PALM,29.591623,-97.584781,"Heat-treated of one greenhouse generation of Michelle Sneck's plantings of natural population from Palmetto State Park, TX. Heat treatment was not successful and significant imperfect transmission caused the controls to have low prevalence "
ELVI,JLP,29.785105,-90.114933,"Jean Laffitte Park, outside of NOLA (Tom collection in August 2019)"
