Tray,Species,Pop, Endo,Site,Var1,Var2,Location,Birthday,Jan8_census,Replacement_(NEW BIRTHDAY),n_Inflo,date_collect,2nd_date_collect,3rd_date_collect,spike_inflo_a,spike_inflo_b,spike_inflo_c,spike_inflo_d,spike_inflo_e,spike_inflo_f,spike_inflo_g,spike_inflo_h,spike_inflo_i,spike_infl_j,spike_inflos_unk,tot_spikelet,avg_spikelet,total_inflo,total_spik_calc,abg_mass_sans_inflo,seed save,seed squash,Inflo_mass,abg_mass_tot,NOTES
1,AGHY,SJC,E+,SON,A,1,A1,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.04534,0.04216,0.00252,0.04468,0.09002,
1,AGHY,LPEF,E+,BAS,A,2,A2,12/13/2024,1,,1/3/1900,7/14/2025,7/22/2025,08/27/2025,252,149,224,174,,,,,,,,799,199.75,4,799,0.26546,0.07321,0.00429,0.0775,0.34296,
1,AGHY,LPEF,E-,KER,A,3,A3,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E+,HUN,A,4,A4,12/13/2024,1,,1/2/1900,7/14/2024,7/22/2025,,73,50,110,,,,,,,,38,271,90.33,3,271,0.43164,0.02546,0.04267,0.06813,0.49977,
1,AGHY,SJC,E+,LAF,A,5,A5,12/13/2024,1,,12/31/1899,7/14/2025,,,72,,,,,,,,,,,72,72.00,1,72,0.24949,0.00593,0.00087,0.0068,0.25629,
1,AGHY,LPEF,E+,KER,A,6,A6,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02459,,,0,0.02459,
1,AGHY,LPEF,E+,HUN,A,7,A7,12/13/2024,1,,1/1/1900,7/14/2025,,,70,128,,,,,,,,,48,246,123.00,2,246,0.46323,0.2572,0.00007,0.25727,0.7205,
1,AGHY,LPEF,E-,SON,A,8,A8,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.01118,,,0,0.01118,no plant/ weeds
1,AGHY,SJC,E-,KER,A,9,A9,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00554,,,0,0.00554,no plant/ weeds
1,AGHY,SJC,E-,LAF,A,10,A10,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02536,,,0,0.02536,
1,AGHY,LPEF,E-,BFL,A,11,A11,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E+,KER,A,12,A12,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E-,LAF,A,13,A13,12/13/2024,1,,1/9/1900,7/7/2025,7/15/2025,7/22/2025,95,83,103,105,69,62,121,77,68,44,8,835,83.50,11,919,0.31651,0.10601,,0.10601,0.42252,
1,AGHY,LPEF,E-,KER,A,14,A14,12/13/2024,0,3/19/25,1/3/1900,7/14/2024,,,91,221,79,113,,,,,,,5,509,127.25,5,636,0.18698,0.05245,,0.05245,0.23943,
1,AGHY,SJC,E-,BFL,B,1,B1,12/13/2024,1,,1/2/1900,7/14/2025,,,44,119,32,,,,,,,,15,210,70.00,3,210,0.44255,0.02241,,0.02241,0.46496,
1,AGHY,LPEF,E-,COL,B,2,B2,12/13/2024,1,,12/31/1899,7/14/2025,,,113,,,,,,,,,,,113,113.00,1,113,0.10474,0.00179,,0.00179,0.10653,
1,AGHY,SJC,E+,COL,B,3,B3,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02157,,,0,0.02157,no plant/ weeds
1,AGHY,SJC,E-,SON,B,4,B4,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.01459,,,0,0.01459,no plant/ weeds
1,AGHY,SJC,E+,HUN,B,5,B5,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E-,SON,B,6,B6,3/19/25,,,1/1/1900,7/14/2025,9/2/2025,,58,82,58,,,,,,,,,198,99.00,3,297,0.21553,0.01648,0.00342,0.0199,0.23543,
1,AGHY,SJC,E-,BFL,B,7,B7,12/13/2024,1,,1/4/1900,7/14/2025,,,65,58,76,56,65,,,,,,48,368,73.60,5,368,0.42676,0.03818,,0.03818,0.46494,
1,AGHY,LPEF,E-,HUN,B,8,B8,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E-,LAF,B,9,B9,12/13/2024,1,,1/1/1900,7/14/2025,,,97,50,,,,,,,,,32,179,89.50,2,179,0.40022,0.01641,,0.01641,0.41663,
1,AGHY,LPEF,E+,SON,B,10,B10,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00889,,,0,0.00889,no plant/ weeds
1,AGHY,LPEF,E+,BFL,B,11,B11,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02333,,,,0.02333,no plant/ weeds
1,AGHY,LPEF,E+,BAS,B,12,B12,12/13/2024,1,,1/8/1900,7/7/2025,7/22/2025,,119,152,91,157,241,218,101,71,124,,54,1328,147.56,9,1328,0.17681,0.14905,0.02392,0.17297,0.34978,
1,AGHY,SJC,E-,COL,B,13,B13,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.07464,,,,0.07464,
1,AGHY,SJC,E+,BFL,B,14,B14,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E-,BAS,C,1,C1,12/13/2024,1,3/19/25,1/6/1900,7/15/2025,7/22/2025,,114,38,43,71,76,142,108,,,,,592,84.57,9,761,0.17826,0.02034,,0.02034,0.1986,
1,AGHY,SJC,E-,COL,C,2,C2,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.15317,,,0,0.15317,
1,AGHY,SJC,E-,BFL,C,3,C3,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.06198,,,0,0.06198,
1,AGHY,SJC,E-,COL,C,4,C4,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00078,,,0,0.00078,no plant/ weeds
1,AGHY,LPEF,E-,BAS,C,5,C5,12/13/2024,0,3/19/25,1/4/1900,7/15/2025,7/22/2025,,160,94,67,148,101,,,,,,,570,114.00,9,1026,0.23425,0.0323,,0.0323,0.26655,
1,AGHY,SJC,E+,BFL,C,6,C6,12/13/2024,0,3/19/25,1/4/1900,7/15/2025,,,128,51,47,35,33,,,,,,56,350,70.00,5,350,0.34535,0.01728,0.00148,0.01876,0.36411,"inflos were broken into multiple pieces, picked ones that were most intact"
1,AGHY,LPEF,E+,COL,C,7,C7,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.03786,,,0,0.03786,
1,AGHY,SJC,E-,HUN,C,8,C8,12/13/2024,0,3/19/25,1/3/1900,7/15/2025,,,59,95,96,44,,,,,,,52,346,86.50,6,519,0.23836,0.01927,,0.01927,0.25763,
1,AGHY,LPEF,E+,KER,C,9,C9,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00593,,,0,0.00593,no plant/ weeds
1,AGHY,LPEF,E+,LAF,C,10,C10,12/13/2024,0,3/19/25,12/31/1899,7/15/2025,,,163,,,,,,,,,,,163,163.00,1,163,0.14187,0.01213,0.00041,0.01254,0.15441,
1,AGHY,LPEF,E+,LAF,C,11,C11,12/13/2024,1,,1/5/1900,7/15/2025,,,116,109,110,114,118,37,,,,,17,621,103.50,6,621,0.43062,0.05477,0.03094,0.08571,0.51633,
1,AGHY,SJC,E+,BAS,C,12,C12,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02745,,,0,0.02745,
1,AGHY,SJC,E-,BAS,C,13,C13,12/13/2024,0,3/19/25,12/31/1899,9/2/0205,,,96,,,,,,,,,,,96,96.00,1,96,0.16275,0.00802,0.03287,0.04089,0.20364,
1,AGHY,LPEF,E+,LAF,C,14,C14,12/13/2024,1,,1/4/1900,7/14/2025,,,74,122,116,60,137,,,,,,41,550,110.00,5,550,0.44179,0.07251,0.00019,0.0727,0.51449,
1,AGHY,LPEF,E-,BAS,D,1,D1,12/13/2024,0,3/19/25,1/3/1900,7/15/2025,7/22/2025,,119,109,119,135,,,,,,,,482,120.50,4,482,0.19533,0.04857,0.00238,0.05095,0.24628,
1,AGHY,SJC,E-,BAS,D,2,D2,12/13/2024,1,,1/1/1900,7/15/2025,,,83,49,,,,,,,,,82,214,107.00,2,214,0.47625,0.04843,,0.04843,0.52468,
1,AGHY,SJC,E+,HUN,D,3,D3,12/13/2024,1,,1/4/1900,7/7/2025,,,94,43,41,85,87,,,,,,17,367,73.40,5,367,0.57134,0.07839,0.03275,0.11114,0.68248,
1,AGHY,LPEF,E+,COL,D,4,D4,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E-,BFL,D,5,D5,12/13/2024,1,,1/4/1900,7/7/2025,,,37,78,28,92,95,,,,,,20,350,70.00,5,350,0.39833,0.03055,,0.03055,0.42888,
1,AGHY,SJC,E-,BAS,D,6,D6,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.12285,,,0,0.12285,
