"trait","species","parameter","label","term_type","median_est","lower_CI","upper_CI","lower_CI95","upper_CI95","prob_gt0","prob_lt0","strong_effect"
"Survival","A. hyemalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",0.1286,-0.4066,0.6552,-0.5307,0.773,0.6552,0.3448,FALSE
"Survival","A. hyemalis","bendoherb","Endophyte × Herbivory","Two-way interaction",-0.1099,-0.6521,0.4428,-0.7674,0.5452,0.3717,0.6283,FALSE
"Survival","A. hyemalis","bherbclim","Herbivory × Climate","Two-way interaction",-0.0291,-0.6898,0.7068,-0.8285,0.847,0.4697,0.5303,FALSE
"Survival","A. hyemalis","bendoclim","Endophyte × Climate","Two-way interaction",0.3025,-0.1146,0.7077,-0.1988,0.7846,0.882,0.118,FALSE
"Survival","A. hyemalis","bherb","Herbivory","Main effect",0.3282,-0.4201,1.0403,-0.5756,1.1563,0.7735,0.2265,FALSE
"Survival","A. hyemalis","bendo","Endophyte","Main effect",-0.1693,-0.5764,0.224,-0.648,0.3052,0.2367,0.7633,FALSE
"Survival","A. hyemalis","bclim","Climate","Main effect",0.403,-0.6495,1.3475,-0.8682,1.5397,0.7368,0.2632,FALSE
"Survival","A. hyemalis","b0","Intercept",NA,-1.3761,-2.4021,-0.4688,-2.6305,-0.2763,0.0063,0.9937,TRUE
"Survival","E. virginicus","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",0.29,-0.2948,0.9714,-0.4048,1.1133,0.7923,0.2077,FALSE
"Survival","E. virginicus","bendoherb","Endophyte × Herbivory","Two-way interaction",-0.0083,-0.5566,0.5614,-0.6911,0.6809,0.4913,0.5087,FALSE
"Survival","E. virginicus","bherbclim","Herbivory × Climate","Two-way interaction",0.1536,-0.4813,0.9466,-0.6015,1.0964,0.6458,0.3542,FALSE
"Survival","E. virginicus","bendoclim","Endophyte × Climate","Two-way interaction",0.3847,-0.048,0.8587,-0.1346,0.9536,0.9285,0.0715,TRUE
"Survival","E. virginicus","bherb","Herbivory","Main effect",0.7824,0.0316,1.6614,-0.0905,1.8304,0.9592,0.0408,TRUE
"Survival","E. virginicus","bendo","Endophyte","Main effect",-0.1193,-0.5532,0.309,-0.6273,0.4076,0.3178,0.6822,FALSE
"Survival","E. virginicus","bclim","Climate","Main effect",0.5321,-0.4288,1.3723,-0.6139,1.5332,0.8305,0.1695,FALSE
"Survival","E. virginicus","b0","Intercept",NA,-0.8517,-1.7393,0.1297,-1.8973,0.333,0.078,0.922,TRUE
"Survival","P. autumnalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",0.1359,-0.5221,0.7588,-0.6588,0.8922,0.6357,0.3643,FALSE
"Survival","P. autumnalis","bendoherb","Endophyte × Herbivory","Two-way interaction",0.0663,-0.5207,0.721,-0.629,0.8737,0.5727,0.4273,FALSE
"Survival","P. autumnalis","bherbclim","Herbivory × Climate","Two-way interaction",-0.4031,-1.2834,0.305,-1.4944,0.433,0.183,0.817,FALSE
"Survival","P. autumnalis","bendoclim","Endophyte × Climate","Two-way interaction",0.2107,-0.3445,0.6655,-0.4625,0.7555,0.7542,0.2458,FALSE
"Survival","P. autumnalis","bherb","Herbivory","Main effect",0.3276,-0.5499,1.0786,-0.7379,1.2102,0.7442,0.2558,FALSE
"Survival","P. autumnalis","bendo","Endophyte","Main effect",-0.208,-0.6878,0.2388,-0.7962,0.3203,0.2107,0.7893,FALSE
"Survival","P. autumnalis","bclim","Climate","Main effect",1.4755,0.3281,2.8705,0.1335,3.1289,0.9835,0.0165,TRUE
"Survival","P. autumnalis","b0","Intercept",NA,-1.2429,-2.2788,-0.2831,-2.5125,-0.0857,0.0187,0.9813,TRUE
"Growth","A. hyemalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.0579,-0.3453,0.24,-0.3982,0.2956,0.3743,0.6257,FALSE
"Growth","A. hyemalis","bendoherb","Endophyte × Herbivory","Two-way interaction",-0.1148,-0.4462,0.1888,-0.5285,0.2388,0.2722,0.7278,FALSE
"Growth","A. hyemalis","bherbclim","Herbivory × Climate","Two-way interaction",0.0288,-0.2132,0.2871,-0.2607,0.3412,0.5718,0.4282,FALSE
"Growth","A. hyemalis","bendoclim","Endophyte × Climate","Two-way interaction",0.1609,-0.053,0.4131,-0.0974,0.462,0.883,0.117,FALSE
"Growth","A. hyemalis","bherb","Herbivory","Main effect",-0.1143,-0.4117,0.1766,-0.4649,0.2231,0.2638,0.7362,FALSE
"Growth","A. hyemalis","bendo","Endophyte","Main effect",0.2189,-0.0171,0.4841,-0.0608,0.5428,0.9367,0.0633,TRUE
"Growth","A. hyemalis","bclim","Climate","Main effect",0.2056,-0.2331,0.6238,-0.3211,0.7087,0.7855,0.2145,FALSE
"Growth","A. hyemalis","b0","Intercept",NA,-1.1822,-1.6267,-0.7294,-1.7126,-0.6435,2e-04,0.9998,TRUE
"Growth","E. virginicus","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.0934,-0.3611,0.1722,-0.412,0.2289,0.2853,0.7147,FALSE
"Growth","E. virginicus","bendoherb","Endophyte × Herbivory","Two-way interaction",-0.0632,-0.3706,0.2325,-0.4266,0.2914,0.3572,0.6428,FALSE
"Growth","E. virginicus","bherbclim","Herbivory × Climate","Two-way interaction",0.0592,-0.1718,0.3201,-0.2191,0.3615,0.6613,0.3387,FALSE
"Growth","E. virginicus","bendoclim","Endophyte × Climate","Two-way interaction",0.0959,-0.103,0.3033,-0.1419,0.343,0.7902,0.2098,FALSE
"Growth","E. virginicus","bherb","Herbivory","Main effect",0.2391,-0.0415,0.5286,-0.0969,0.5957,0.92,0.08,TRUE
"Growth","E. virginicus","bendo","Endophyte","Main effect",0.16,-0.0743,0.3979,-0.1301,0.45,0.8727,0.1273,FALSE
"Growth","E. virginicus","bclim","Climate","Main effect",0.013,-0.3545,0.3931,-0.4222,0.4587,0.524,0.476,FALSE
"Growth","E. virginicus","b0","Intercept",NA,-0.4123,-0.8325,0.0068,-0.9124,0.0861,0.0525,0.9475,TRUE
"Growth","P. autumnalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.1967,-0.5243,0.0961,-0.5958,0.1459,0.1383,0.8617,FALSE
"Growth","P. autumnalis","bendoherb","Endophyte × Herbivory","Two-way interaction",0.0094,-0.2942,0.3877,-0.3505,0.4723,0.5185,0.4815,FALSE
"Growth","P. autumnalis","bherbclim","Herbivory × Climate","Two-way interaction",-0.1654,-0.4431,0.0913,-0.5025,0.1308,0.1513,0.8487,FALSE
"Growth","P. autumnalis","bendoclim","Endophyte × Climate","Two-way interaction",0.0271,-0.2148,0.2448,-0.2532,0.2863,0.5833,0.4167,FALSE
"Growth","P. autumnalis","bherb","Herbivory","Main effect",0.2335,-0.0463,0.5459,-0.0959,0.6063,0.9113,0.0887,TRUE
"Growth","P. autumnalis","bendo","Endophyte","Main effect",0.0589,-0.2202,0.3091,-0.2839,0.3498,0.6365,0.3635,FALSE
"Growth","P. autumnalis","bclim","Climate","Main effect",1.0002,0.388,1.5428,0.2661,1.6629,0.9968,0.0032,TRUE
"Growth","P. autumnalis","b0","Intercept",NA,-1.0346,-1.5677,-0.5268,-1.6806,-0.439,7e-04,0.9993,TRUE
"Inflorescence","A. hyemalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.0724,-0.4069,0.2836,-0.4613,0.3527,0.3583,0.6417,FALSE
"Inflorescence","A. hyemalis","bendoherb","Endophyte × Herbivory","Two-way interaction",0.076,-0.3618,0.4792,-0.4462,0.5556,0.6138,0.3862,FALSE
"Inflorescence","A. hyemalis","bherbclim","Herbivory × Climate","Two-way interaction",-0.0913,-0.4824,0.2579,-0.5679,0.3249,0.3308,0.6692,FALSE
"Inflorescence","A. hyemalis","bendoclim","Endophyte × Climate","Two-way interaction",0.1883,-0.0649,0.4665,-0.1121,0.5335,0.8888,0.1112,FALSE
"Inflorescence","A. hyemalis","bherb","Herbivory","Main effect",0.488,0.0429,0.9157,-0.0589,0.9932,0.962,0.038,TRUE
"Inflorescence","A. hyemalis","bendo","Endophyte","Main effect",-0.0119,-0.3587,0.3162,-0.4263,0.3798,0.4767,0.5233,FALSE
"Inflorescence","A. hyemalis","bclim","Climate","Main effect",0.7498,0.1127,1.3882,-0.0308,1.5168,0.9698,0.0302,TRUE
"Inflorescence","A. hyemalis","b0","Intercept",NA,0.1562,-0.5447,0.9064,-0.6701,1.0507,0.6307,0.3693,FALSE
"Inflorescence","E. virginicus","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.1417,-0.4788,0.175,-0.5422,0.2511,0.235,0.765,FALSE
"Inflorescence","E. virginicus","bendoherb","Endophyte × Herbivory","Two-way interaction",0.09,-0.3465,0.5156,-0.4224,0.6045,0.6432,0.3568,FALSE
"Inflorescence","E. virginicus","bherbclim","Herbivory × Climate","Two-way interaction",-0.0221,-0.3525,0.3418,-0.418,0.4257,0.4558,0.5442,FALSE
"Inflorescence","E. virginicus","bendoclim","Endophyte × Climate","Two-way interaction",0.1452,-0.1064,0.4039,-0.156,0.451,0.8322,0.1678,FALSE
"Inflorescence","E. virginicus","bherb","Herbivory","Main effect",0.7556,0.2918,1.3188,0.2055,1.4532,0.9973,0.0027,TRUE
"Inflorescence","E. virginicus","bendo","Endophyte","Main effect",-0.0406,-0.4071,0.2879,-0.4817,0.3489,0.4272,0.5728,FALSE
"Inflorescence","E. virginicus","bclim","Climate","Main effect",0.3564,-0.267,0.9869,-0.3867,1.0916,0.826,0.174,FALSE
"Inflorescence","E. virginicus","b0","Intercept",NA,-0.2782,-0.9222,0.3313,-1.0585,0.4651,0.2298,0.7702,FALSE
"Inflorescence","P. autumnalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.1576,-0.5335,0.1692,-0.6083,0.2314,0.2207,0.7793,FALSE
"Inflorescence","P. autumnalis","bendoherb","Endophyte × Herbivory","Two-way interaction",0.3516,-0.089,0.8727,-0.1686,0.9669,0.9015,0.0985,TRUE
"Inflorescence","P. autumnalis","bherbclim","Herbivory × Climate","Two-way interaction",-0.1008,-0.3758,0.1883,-0.4272,0.2458,0.2812,0.7188,FALSE
"Inflorescence","P. autumnalis","bendoclim","Endophyte × Climate","Two-way interaction",0.1264,-0.1473,0.3832,-0.1982,0.4336,0.7887,0.2113,FALSE
"Inflorescence","P. autumnalis","bherb","Herbivory","Main effect",0.4855,-0.0561,0.9775,-0.1972,1.0725,0.93,0.07,TRUE
"Inflorescence","P. autumnalis","bendo","Endophyte","Main effect",0.2138,-0.1301,0.5847,-0.1949,0.6563,0.8358,0.1642,FALSE
"Inflorescence","P. autumnalis","bclim","Climate","Main effect",1.5905,0.6299,2.5689,0.4859,2.7829,0.9987,0.0013,TRUE
"Inflorescence","P. autumnalis","b0","Intercept",NA,-0.9026,-1.9667,0.0278,-2.1805,0.1634,0.0565,0.9435,TRUE
"Spikelet","E. virginicus","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",0.0665,-0.121,0.2588,-0.1547,0.2983,0.7205,0.2795,FALSE
