Species,n_obs,n_LID,Tmax_mean,Tmax_sd,Tmin_mean,Tmin_sd,Rain_mean,Rain_sd,Age_mean,Htd_mean
Ppat,114412,2749,19.09,0.71,8.36,0.84,1063.69,236.6,8.3,21.34
Pell,61958,1533,19.32,0.79,8.48,0.81,1071.15,291.96,7.9,18.1
Ptae,19375,505,19.26,0.73,8.59,0.86,1158.25,314.59,8.4,18.26
Ppxt_H,4115,414,19.51,0.7,8.89,0.98,1157.43,313.82,3.7,12.43
Pexc,3267,102,19.66,0.56,8.98,0.77,1180.75,316.91,6,17.39
Ppxt,3103,142,19.71,0.53,8.92,0.72,1084.46,270.4,5.5,17.33
Pmix,2302,71,19.37,0.58,8.63,0.69,1120.52,322,8.1,19.36
Ppxt_L,1690,198,19.88,0.81,9.16,1.01,1029.87,328.21,3.3,12.07
Pgre,1653,46,18.97,0.72,8.36,0.81,1151.22,311.45,8.5,17.76
Phyb,309,18,19.69,0.37,9.29,0.76,1151.82,368.79,6,18.92
Ptec,122,7,19.62,0.41,9.25,0.64,931.01,266.01,4.6,14.68
